date,price
2013-05-11,15.36818182
2013-05-18,15.44166667
2013-05-25,15.47604167
2013-06-01,18.56363636
2013-06-08,17.53125
2013-06-15,16.37
2013-06-22,12.46153846
2013-06-29,12.27083333
2013-07-06,11.43055556
2013-07-13,12.04464286
2013-07-20,11.70192308
2013-07-27,11.94166667
2013-08-03,14.31666667
2013-08-10,16.24342105
2013-08-17,18.1576087
2013-08-24,16.53484848
2013-08-31,15.99137931
2013-09-07,15.07954545
2013-09-14,12.04761905
2013-09-21,11.25694444
2013-09-28,12.3359375
2013-10-05,12.67045455
2013-10-19,17.7578125
2013-10-26,18.5625
2013-11-02,20.65972222
2013-11-09,20.8359375
2013-11-16,21.04166667
2013-11-23,20.86458333
2013-11-30,22.390625
2013-12-07,18.5125
2013-12-14,16.66666667
2013-12-21,15.03571429
2013-12-28,14.21428571
2014-01-04,15.7
2014-01-11,16.80555556
2014-01-18,17.82
2014-01-25,21.359375
2014-02-01,25.82142857
2014-02-08,26.21875
2014-02-15,25.59375
2014-02-22,22.95833333
2014-03-01,21.75
2014-03-08,20.27777778
2014-03-15,18.8375
2014-03-22,17.41666667
2014-03-29,20.03888889
2014-04-05,20.83333333
2014-04-12,18.6625
2014-04-19,16.3275
2014-04-26,15.7275
2014-05-03,16.94791667
2014-05-10,16.55
2014-05-17,17.09722222
2014-05-24,17.43055556
2014-05-31,17.78125
2014-06-07,18.05
2014-06-14,16.09375
2014-06-21,14.40416667
2014-06-28,13.4025
2014-07-05,13.03409091
2014-07-12,14.46875
2014-07-19,13.81319444
2014-07-26,16.03076923
2014-08-02,18.76666667
2014-08-09,15.44047619
2014-08-16,14.20416667
2014-08-23,13.50595238
2014-08-30,12.4375
2014-09-06,11.69166667
2014-09-13,11.19736842
2014-09-20,11.09868421
2014-09-27,12.175
2014-10-04,13.70833333
2014-10-11,13.93421053
2014-10-18,13.53409091
2014-10-25,13.39895833
2014-11-01,14.49038462
2014-11-08,12.40192308
2014-11-15,14.53645833
2014-11-22,18.31416667
2014-11-29,19.78846154
2014-12-06,20.3
2014-12-13,20.96875
2014-12-20,23.125
2014-12-27,24.9125
2015-01-03,24.6
2015-01-10,25.5
2015-01-17,23.42045455
2015-01-24,20.19791667
2015-01-31,19.46
2015-02-07,19.6640625
2015-02-14,19.48214286
2015-02-21,21.2375
2015-02-28,24.57291667
2015-03-07,24.22222222
